,Unnamed: 0,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
20,21,ATL,21,2014-12-10,Home,PHI,W,95,79,38,91,0.418,10,30,0.333,9,13,0.692,16,52,26,15,1,14,16,30,72,0.417,6,25,0.24,13,22,0.591,7,39,21,10,10,18,18
21,22,ATL,22,2014-12-12,Home,ORL,W,87,81,29,78,0.372,9,29,0.31,20,27,0.741,5,42,24,12,3,12,12,30,77,0.39,9,26,0.346,12,16,0.75,9,46,14,3,4,18,27
23,24,ATL,24,2014-12-15,Home,CHI,W,93,86,36,83,0.434,7,21,0.333,14,17,0.824,5,40,26,10,7,9,17,35,93,0.376,6,29,0.207,10,14,0.714,15,57,18,3,6,14,17
27,28,ATL,28,2014-12-23,Home,LAC,W,107,104,34,76,0.447,12,23,0.522,27,35,0.771,9,43,28,6,3,14,21,37,92,0.402,11,29,0.379,19,28,0.679,16,51,26,10,5,10,23
28,29,ATL,29,2014-12-26,Home,MIL,L,77,107,31,76,0.408,4,23,0.174,11,14,0.786,8,38,20,8,4,22,19,40,79,0.506,8,19,0.421,19,23,0.826,6,40,28,15,6,15,19
30,31,ATL,31,2014-12-30,Home,CLE,W,109,101,40,79,0.506,10,29,0.345,19,26,0.731,7,44,23,13,5,15,19,37,84,0.44,13,31,0.419,14,21,0.667,11,42,23,10,2,18,24
34,35,ATL,35,2015-01-07,Home,MEM,W,96,86,32,72,0.444,13,25,0.52,19,23,0.826,8,37,21,17,4,17,15,35,79,0.443,5,17,0.294,11,11,1.0,8,39,20,10,4,21,21
36,37,ATL,37,2015-01-11,Home,WAS,W,120,89,42,89,0.472,16,31,0.516,20,24,0.833,13,42,34,14,3,8,15,36,76,0.474,5,20,0.25,12,15,0.8,8,39,25,5,7,19,16
41,42,ATL,42,2015-01-19,Home,DET,W,93,82,37,84,0.44,9,30,0.3,10,14,0.714,5,42,31,8,1,10,19,29,82,0.354,9,35,0.257,15,26,0.577,20,61,17,6,2,18,17
42,43,ATL,43,2015-01-21,Home,IND,W,110,91,39,78,0.5,13,29,0.448,19,26,0.731,9,43,30,12,3,16,23,31,78,0.397,5,25,0.2,24,26,0.923,10,42,22,7,2,18,21
43,44,ATL,44,2015-01-23,Home,OKC,W,103,93,40,83,0.482,10,25,0.4,13,13,1.0,10,47,27,6,5,16,13,36,87,0.414,10,26,0.385,11,18,0.611,9,36,23,11,7,11,16
44,45,ATL,45,2015-01-25,Home,MIN,W,112,100,45,80,0.563,10,28,0.357,12,18,0.667,8,29,30,8,5,10,20,37,71,0.521,6,16,0.375,20,25,0.8,11,37,24,4,2,13,18
45,46,ATL,46,2015-01-28,Home,BRK,W,113,102,38,82,0.463,12,33,0.364,25,26,0.962,12,45,29,4,4,11,18,39,87,0.448,9,24,0.375,15,18,0.833,9,35,26,6,5,8,20
46,47,ATL,47,2015-01-30,Home,POR,W,105,99,40,84,0.476,11,23,0.478,14,22,0.636,7,42,26,12,4,13,17,39,87,0.448,11,30,0.367,10,11,0.909,9,46,25,7,3,17,20
47,48,ATL,48,2015-01-31,Home,PHI,W,91,85,34,78,0.436,10,28,0.357,13,18,0.722,8,44,20,6,5,12,16,31,81,0.383,14,35,0.4,9,15,0.6,10,44,21,7,4,14,26
49,50,ATL,50,2015-02-04,Home,WAS,W,105,96,38,80,0.475,11,25,0.44,18,27,0.667,9,46,24,7,2,14,22,34,77,0.442,4,16,0.25,24,30,0.8,5,41,19,7,2,12,24
50,51,ATL,51,2015-02-06,Home,GSW,W,124,116,38,77,0.494,15,27,0.556,33,37,0.892,4,38,28,13,4,13,19,47,103,0.456,12,33,0.364,10,15,0.667,19,51,31,7,7,14,24
54,55,ATL,55,2015-02-20,Home,TOR,L,80,105,29,88,0.33,8,38,0.211,14,21,0.667,17,52,19,6,8,22,10,43,96,0.448,13,30,0.433,6,8,0.75,15,52,27,15,9,13,20
56,57,ATL,57,2015-02-25,Home,DAL,W,104,87,39,85,0.459,13,35,0.371,13,16,0.813,10,41,28,7,2,11,18,34,80,0.425,5,31,0.161,14,18,0.778,13,44,20,0,3,15,18
57,58,ATL,58,2015-02-27,Home,ORL,W,95,88,36,81,0.444,14,31,0.452,9,12,0.75,11,42,27,11,5,18,12,36,80,0.45,9,26,0.346,7,13,0.538,10,40,22,10,7,17,17
59,60,ATL,60,2015-03-03,Home,HOU,W,104,96,39,86,0.453,8,29,0.276,18,21,0.857,9,49,23,3,6,15,13,39,90,0.433,14,41,0.341,4,9,0.444,8,41,30,6,6,12,21
60,61,ATL,61,2015-03-06,Home,CLE,W,106,97,43,84,0.512,6,21,0.286,14,17,0.824,11,38,27,10,4,12,22,29,69,0.42,13,38,0.342,26,33,0.788,10,37,18,7,6,17,14
62,63,ATL,63,2015-03-09,Home,SAC,W,130,105,53,88,0.602,20,36,0.556,4,7,0.571,10,33,42,8,6,13,18,39,81,0.481,8,20,0.4,19,20,0.95,16,40,21,10,2,16,12
69,70,ATL,70,2015-03-22,Home,SAS,L,95,114,38,80,0.475,12,24,0.5,7,7,1.0,6,29,25,13,2,18,15,46,82,0.561,7,17,0.412,15,17,0.882,10,43,30,8,4,16,14
71,72,ATL,72,2015-03-27,Home,MIA,W,99,86,37,72,0.514,6,18,0.333,19,24,0.792,5,38,31,12,4,16,13,32,82,0.39,11,35,0.314,11,15,0.733,11,41,20,9,6,18,20
73,74,ATL,74,2015-03-30,Home,MIL,W,101,88,36,79,0.456,9,29,0.31,20,24,0.833,12,42,29,5,4,11,20,34,75,0.453,4,17,0.235,16,23,0.696,13,39,26,4,2,11,22
75,76,ATL,76,2015-04-04,Home,BRK,W,131,99,49,82,0.598,17,33,0.515,16,19,0.842,7,34,40,15,4,12,16,39,80,0.488,10,23,0.435,11,17,0.647,12,39,22,7,2,21,15
76,77,ATL,77,2015-04-07,Home,PHO,W,96,69,41,83,0.494,4,25,0.16,10,14,0.714,8,54,21,9,4,15,17,26,83,0.313,4,20,0.2,13,18,0.722,9,37,16,5,6,15,9
78,79,ATL,79,2015-04-10,Home,CHO,W,104,80,41,82,0.5,10,28,0.357,12,16,0.75,9,44,31,10,4,13,18,30,83,0.361,8,30,0.267,12,18,0.667,12,46,21,8,3,13,15
80,81,ATL,81,2015-04-13,Home,NYK,L,108,112,39,88,0.443,11,32,0.344,19,23,0.826,12,37,27,10,3,8,17,43,77,0.558,13,25,0.52,13,19,0.684,9,39,33,7,7,17,19
82,110,BOS,1,2014-10-29,Home,BRK,W,121,105,49,88,0.557,8,22,0.364,15,23,0.652,9,35,28,11,5,12,25,39,80,0.488,7,19,0.368,20,26,0.769,9,39,20,6,7,20,21
85,410,BOS,4,2014-11-05,Home,TOR,L,107,110,40,78,0.513,10,26,0.385,17,18,0.944,17,55,22,5,3,27,25,42,87,0.483,7,16,0.438,19,23,0.826,6,24,18,11,4,7,18
86,510,BOS,5,2014-11-07,Home,IND,W,101,98,39,85,0.459,9,27,0.333,14,16,0.875,9,38,26,6,3,12,19,40,88,0.455,5,19,0.263,13,13,1.0,14,42,18,2,6,13,17
88,710,BOS,7,2014-11-12,Home,OKC,L,94,109,37,83,0.446,9,33,0.273,11,13,0.846,7,35,28,5,3,8,20,40,82,0.488,10,24,0.417,19,22,0.864,8,41,23,1,3,8,13
89,83,BOS,8,2014-11-14,Home,CLE,L,121,122,48,88,0.545,6,20,0.3,19,23,0.826,8,39,32,7,1,14,26,43,85,0.506,8,23,0.348,28,37,0.757,8,40,22,5,5,11,21
90,91,BOS,9,2014-11-17,Home,PHO,L,114,118,45,87,0.517,4,10,0.4,20,31,0.645,11,44,28,10,4,18,19,48,93,0.516,9,21,0.429,13,16,0.813,8,40,30,11,2,18,23
93,121,BOS,12,2014-11-23,Home,POR,L,88,94,37,95,0.389,5,23,0.217,9,12,0.75,12,46,17,12,1,8,15,37,86,0.43,7,19,0.368,13,15,0.867,10,55,20,7,3,16,13
94,131,BOS,13,2014-11-28,Home,CHI,L,102,109,37,92,0.402,6,22,0.273,22,29,0.759,12,42,20,7,2,13,30,37,90,0.411,5,17,0.294,30,37,0.811,18,52,18,5,13,13,21
95,141,BOS,14,2014-11-30,Home,SAS,L,89,111,36,87,0.414,6,18,0.333,11,15,0.733,12,42,21,5,5,15,21,41,85,0.482,11,26,0.423,18,20,0.9,10,45,25,9,5,14,11
97,161,BOS,16,2014-12-03,Home,DET,W,109,102,37,93,0.398,13,30,0.433,22,27,0.815,8,49,28,8,6,12,21,37,102,0.363,8,27,0.296,20,29,0.69,16,55,20,7,7,11,23
98,171,BOS,17,2014-12-05,Home,LAL,W,113,96,46,90,0.511,8,20,0.4,13,22,0.591,10,54,29,6,2,16,19,38,92,0.413,6,16,0.375,14,19,0.737,7,38,14,2,4,12,18
99,181,BOS,18,2014-12-07,Home,WAS,W,101,93,36,88,0.409,8,17,0.471,21,26,0.808,9,49,20,10,7,15,21,34,93,0.366,11,27,0.407,14,21,0.667,16,52,21,5,8,19,20
102,211,BOS,21,2014-12-12,Home,NYK,L,95,101,37,85,0.435,7,22,0.318,14,18,0.778,12,41,28,3,3,17,18,40,81,0.494,6,16,0.375,15,18,0.833,11,40,26,13,5,13,20
104,231,BOS,23,2014-12-17,Home,ORL,W,109,92,44,80,0.55,7,19,0.368,14,18,0.778,7,42,25,9,8,14,16,37,85,0.435,5,19,0.263,13,15,0.867,10,36,17,8,1,12,16
105,241,BOS,24,2014-12-19,Home,MIN,W,114,98,48,85,0.565,8,23,0.348,10,14,0.714,12,43,29,9,6,13,20,42,93,0.452,6,12,0.5,8,16,0.5,15,37,23,8,5,13,13
108,271,BOS,27,2014-12-26,Home,BRK,L,107,109,45,87,0.517,9,24,0.375,8,11,0.727,5,37,32,8,3,14,23,41,83,0.494,7,21,0.333,20,28,0.714,13,43,19,9,3,15,10
