,Unnamed: 0,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
5915,1276,LAC,12,2016-11-16,Home,MEM,L,107,111,37,81,0.457,9,25,0.36,24,34,0.706,8,35,15,13,7,8,19,40,82,0.488,15,26,0.577,16,19,0.842,9,43,24,6,2,15,22
5917,1472,LAC,14,2016-11-19,Home,CHI,W,102,95,36,77,0.468,11,27,0.407,19,23,0.826,11,38,20,6,2,13,20,33,77,0.429,9,30,0.3,20,24,0.833,15,41,17,7,4,12,20
5918,1572,LAC,15,2016-11-21,Home,TOR,W,123,115,39,74,0.527,10,25,0.4,35,42,0.833,6,42,23,5,4,14,24,40,80,0.5,8,19,0.421,27,32,0.844,4,32,19,10,2,11,31
5925,2276,LAC,22,2016-12-04,Home,IND,L,102,111,36,81,0.444,10,30,0.333,20,28,0.714,16,51,19,5,7,20,24,39,79,0.494,5,14,0.357,28,35,0.8,5,36,21,9,2,9,24
5926,2372,LAC,23,2016-12-07,Home,GSW,L,98,115,36,92,0.391,8,26,0.308,18,24,0.75,17,47,15,3,2,13,24,42,89,0.472,7,31,0.226,24,29,0.828,12,46,32,11,5,10,24
5927,2472,LAC,24,2016-12-10,Home,NOP,W,133,105,54,94,0.574,17,36,0.472,8,9,0.889,9,40,34,10,2,10,22,40,83,0.482,8,19,0.421,17,26,0.654,8,34,25,3,1,16,15
5928,2572,LAC,25,2016-12-12,Home,POR,W,121,120,42,89,0.472,11,23,0.478,26,28,0.929,13,38,26,9,8,12,20,44,87,0.506,10,21,0.476,22,25,0.88,13,42,25,6,7,15,24
5932,2972,LAC,29,2016-12-20,Home,DEN,W,119,102,47,86,0.547,16,36,0.444,9,13,0.692,5,37,32,7,2,12,13,39,90,0.433,11,39,0.282,13,20,0.65,15,46,22,5,1,12,15
5933,3072,LAC,30,2016-12-22,Home,SAS,W,106,101,39,83,0.47,11,28,0.393,17,22,0.773,6,40,18,8,6,12,22,37,92,0.402,6,19,0.316,21,25,0.84,18,55,19,8,7,12,23
5934,31111,LAC,31,2016-12-23,Home,DAL,L,88,90,34,74,0.459,13,29,0.448,7,11,0.636,6,41,17,9,4,20,16,37,87,0.425,7,29,0.241,9,15,0.6,14,42,21,13,4,12,14
5936,3372,LAC,33,2016-12-26,Home,DEN,L,102,106,39,84,0.464,9,25,0.36,15,20,0.75,4,38,22,6,6,11,19,36,82,0.439,11,31,0.355,23,28,0.821,11,51,22,10,1,14,18
5940,3772,LAC,37,2017-01-02,Home,PHO,W,109,98,37,80,0.463,7,16,0.438,28,38,0.737,12,51,17,1,11,19,21,39,102,0.382,2,15,0.133,18,22,0.818,19,48,22,11,4,12,29
5941,3872,LAC,38,2017-01-04,Home,MEM,W,115,106,37,73,0.507,9,23,0.391,32,45,0.711,8,45,23,5,5,13,23,38,88,0.432,11,28,0.393,19,25,0.76,12,43,30,6,5,9,31
5943,4072,LAC,40,2017-01-08,Home,MIA,W,98,86,36,86,0.419,9,30,0.3,17,25,0.68,9,51,27,8,3,11,20,31,84,0.369,7,27,0.259,17,21,0.81,11,50,14,6,5,15,21
5944,41111,LAC,41,2017-01-11,Home,ORL,W,105,96,39,76,0.513,9,26,0.346,18,26,0.692,9,49,23,11,5,21,20,39,92,0.424,6,27,0.222,12,18,0.667,6,35,21,8,3,13,21
5945,4276,LAC,42,2017-01-14,Home,LAL,W,113,97,48,92,0.522,10,28,0.357,7,8,0.875,7,42,28,6,6,7,24,36,80,0.45,10,21,0.476,15,27,0.556,6,40,21,3,2,14,20
5946,4372,LAC,43,2017-01-16,Home,OKC,W,120,98,45,82,0.549,12,28,0.429,18,22,0.818,10,47,27,9,5,15,15,36,85,0.424,10,30,0.333,16,19,0.842,9,36,18,10,4,15,15
5947,4472,LAC,44,2017-01-19,Home,MIN,L,101,104,42,87,0.483,4,22,0.182,13,24,0.542,14,41,24,9,6,11,21,40,84,0.476,5,16,0.313,19,25,0.76,13,43,25,3,2,13,21
5953,5072,LAC,50,2017-02-02,Home,GSW,L,120,133,40,80,0.5,10,25,0.4,30,39,0.769,9,37,24,7,7,15,18,52,99,0.525,14,34,0.412,15,18,0.833,15,46,38,10,2,11,26
5959,5672,LAC,56,2017-02-15,Home,ATL,W,99,84,37,79,0.468,14,37,0.378,11,12,0.917,5,40,24,18,3,16,17,32,79,0.405,7,26,0.269,13,19,0.684,10,45,20,5,1,20,13
5961,5872,LAC,58,2017-02-24,Home,SAS,L,97,105,35,79,0.443,7,23,0.304,20,24,0.833,8,36,18,9,2,12,26,35,82,0.427,9,26,0.346,26,30,0.867,15,51,23,9,7,13,21
5962,5972,LAC,59,2017-02-26,Home,CHO,W,124,121,45,97,0.464,10,32,0.313,24,34,0.706,15,47,27,14,3,9,25,38,80,0.475,18,40,0.45,27,30,0.9,5,43,16,1,1,16,32
5963,6072,LAC,60,2017-03-01,Home,HOU,L,103,122,42,94,0.447,12,34,0.353,7,13,0.538,10,36,26,8,3,7,23,37,87,0.425,20,52,0.385,28,33,0.848,19,62,21,3,2,16,17
5966,6372,LAC,63,2017-03-06,Home,BOS,W,116,102,39,73,0.534,9,20,0.45,29,47,0.617,8,47,23,7,5,13,24,34,83,0.41,10,35,0.286,24,29,0.828,7,37,22,9,2,11,31
5969,6672,LAC,66,2017-03-11,Home,PHI,W,112,100,40,81,0.494,8,25,0.32,24,29,0.828,8,41,25,13,3,13,13,40,84,0.476,10,30,0.333,10,14,0.714,7,41,28,11,1,16,23
5971,6872,LAC,68,2017-03-15,Home,MIL,L,96,97,35,75,0.467,5,24,0.208,21,29,0.724,6,42,23,3,4,15,20,34,76,0.447,10,29,0.345,19,25,0.76,4,36,22,8,2,11,25
5973,7072,LAC,70,2017-03-18,Home,CLE,W,108,78,40,78,0.513,8,26,0.308,20,29,0.69,7,54,27,4,3,14,15,32,83,0.386,5,27,0.185,9,13,0.692,4,40,15,5,0,12,24
5974,71111,LAC,71,2017-03-20,Home,NYK,W,114,105,43,87,0.494,10,31,0.323,18,24,0.75,9,43,25,8,4,9,19,40,89,0.449,6,24,0.25,19,24,0.792,14,48,24,6,1,12,19
5977,7472,LAC,74,2017-03-25,Home,UTA,W,108,95,38,84,0.452,7,27,0.259,25,28,0.893,11,47,14,9,5,10,17,37,86,0.43,8,26,0.308,13,18,0.722,12,43,22,5,3,14,22
5978,7572,LAC,75,2017-03-26,Home,SAC,L,97,98,32,78,0.41,10,29,0.345,23,28,0.821,6,45,20,7,2,9,14,38,84,0.452,13,28,0.464,9,13,0.692,6,46,23,5,4,12,25
5979,7672,LAC,76,2017-03-29,Home,WAS,W,133,124,47,83,0.566,12,30,0.4,27,37,0.73,8,41,27,6,4,10,22,46,93,0.495,13,34,0.382,19,29,0.655,14,43,22,7,0,10,31
5981,7872,LAC,78,2017-04-01,Home,LAL,W,115,104,38,69,0.551,11,25,0.44,28,34,0.824,4,39,24,8,5,17,19,39,90,0.433,6,23,0.261,20,30,0.667,15,41,26,12,2,11,27
5982,7972,LAC,79,2017-04-05,Home,DAL,W,112,101,38,75,0.507,12,31,0.387,24,31,0.774,5,40,22,11,0,15,19,38,86,0.442,11,31,0.355,14,18,0.778,11,44,24,5,3,16,26
5984,8173,LAC,81,2017-04-10,Home,HOU,W,125,96,46,91,0.505,10,26,0.385,23,28,0.821,12,49,29,9,0,9,16,33,84,0.393,9,40,0.225,21,27,0.778,9,41,23,5,3,15,23
5985,8272,LAC,82,2017-04-12,Home,SAC,W,115,95,43,83,0.518,10,28,0.357,19,25,0.76,11,43,29,4,6,6,15,40,81,0.494,5,11,0.455,10,14,0.714,7,37,27,2,1,10,18
5986,1277,LAL,1,2016-10-26,Home,HOU,W,120,114,45,89,0.506,12,35,0.343,18,22,0.818,11,39,21,10,4,15,24,44,86,0.512,7,29,0.241,19,27,0.704,10,39,29,10,1,14,23
5991,6277,LAL,6,2016-11-04,Home,GSW,W,117,97,45,95,0.474,8,30,0.267,19,21,0.905,16,51,26,9,5,16,19,39,86,0.453,5,32,0.156,14,20,0.7,9,40,26,13,3,20,13
5992,7277,LAL,7,2016-11-06,Home,PHO,W,119,108,41,90,0.456,10,23,0.435,27,35,0.771,15,53,22,8,5,19,22,40,91,0.44,6,20,0.3,22,28,0.786,11,40,20,8,2,17,30
5993,892,LAL,8,2016-11-08,Home,DAL,L,97,109,38,78,0.487,10,26,0.385,11,14,0.786,8,37,20,6,1,16,19,43,82,0.524,10,23,0.435,13,15,0.867,8,37,24,11,4,11,12
5997,1278,LAL,12,2016-11-15,Home,BRK,W,125,118,41,92,0.446,9,28,0.321,34,43,0.791,14,55,24,9,2,11,17,45,99,0.455,12,41,0.293,16,20,0.8,9,47,23,8,6,14,27
5998,1373,LAL,13,2016-11-18,Home,SAS,L,107,116,39,87,0.448,12,25,0.48,17,21,0.81,15,45,24,6,1,13,21,44,78,0.564,10,24,0.417,18,19,0.947,3,34,30,8,6,12,18
5999,1473,LAL,14,2016-11-20,Home,CHI,L,110,118,41,93,0.441,13,31,0.419,15,21,0.714,10,37,26,11,3,10,19,45,87,0.517,8,22,0.364,20,28,0.714,16,56,27,6,3,16,16
6000,1573,LAL,15,2016-11-22,Home,OKC,W,111,109,42,83,0.506,14,27,0.519,13,16,0.813,6,35,25,8,7,17,17,45,92,0.489,11,27,0.407,8,11,0.727,11,40,29,11,6,15,14
6002,1773,LAL,17,2016-11-25,Home,GSW,L,85,109,32,90,0.356,5,22,0.227,16,23,0.696,14,45,20,12,3,18,16,43,83,0.518,11,28,0.393,12,17,0.706,4,44,31,10,10,17,21
6003,1873,LAL,18,2016-11-27,Home,ATL,W,109,94,42,95,0.442,8,20,0.4,17,20,0.85,15,53,20,7,2,9,15,39,88,0.443,12,35,0.343,4,10,0.4,7,38,25,5,6,12,19
6008,2373,LAL,23,2016-12-05,Home,UTA,L,101,107,39,87,0.448,5,14,0.357,18,23,0.783,15,43,15,8,1,10,23,38,80,0.475,13,32,0.406,18,29,0.621,11,39,26,5,7,12,18
6010,2573,LAL,25,2016-12-09,Home,PHO,L,115,119,40,87,0.46,9,26,0.346,26,34,0.765,10,49,18,4,2,15,21,45,95,0.474,13,30,0.433,16,21,0.762,9,44,26,8,8,7,24
6011,2673,LAL,26,2016-12-11,Home,NYK,L,112,118,42,88,0.477,10,28,0.357,18,22,0.818,9,41,26,7,1,14,22,41,84,0.488,10,22,0.455,26,31,0.839,8,44,21,9,11,10,15
6019,3473,LAL,34,2016-12-25,Home,LAC,W,111,102,40,84,0.476,8,25,0.32,23,30,0.767,13,48,18,7,3,13,21,37,85,0.435,10,29,0.345,18,22,0.818,10,42,24,9,5,15,20
6020,3573,LAL,35,2016-12-27,Home,UTA,L,100,102,39,83,0.47,4,16,0.25,18,22,0.818,15,40,19,8,3,14,21,38,75,0.507,9,26,0.346,17,24,0.708,14,39,19,6,4,19,18
6021,3673,LAL,36,2016-12-29,Home,DAL,L,89,101,32,68,0.471,7,19,0.368,18,25,0.72,7,34,15,8,1,15,18,38,77,0.494,14,31,0.452,11,14,0.786,10,42,24,8,2,15,17
6022,3773,LAL,37,2017-01-01,Home,TOR,L,114,123,37,92,0.402,15,32,0.469,25,31,0.806,16,43,19,8,3,7,21,42,75,0.56,10,17,0.588,29,32,0.906,5,40,18,5,9,16,25
6023,3873,LAL,38,2017-01-03,Home,MEM,W,116,102,42,82,0.512,17,33,0.515,15,28,0.536,9,43,34,5,2,9,23,30,77,0.39,10,31,0.323,32,35,0.914,5,39,18,6,1,10,16
6025,4073,LAL,40,2017-01-06,Home,MIA,W,127,100,48,96,0.5,10,28,0.357,21,29,0.724,18,62,22,6,2,11,22,38,92,0.413,8,32,0.25,16,27,0.593,11,41,17,5,7,10,23
6026,41112,LAL,41,2017-01-08,Home,ORL,W,111,95,42,87,0.483,8,32,0.25,19,24,0.792,6,47,23,8,5,13,21,34,90,0.378,7,26,0.269,20,29,0.69,18,54,24,5,3,18,20
6027,4278,LAL,42,2017-01-10,Home,POR,L,87,108,32,83,0.386,9,24,0.375,14,26,0.538,9,38,18,7,5,10,18,43,85,0.506,7,21,0.333,15,20,0.75,9,50,25,6,9,11,21
6030,4573,LAL,45,2017-01-15,Home,DET,L,97,102,36,83,0.434,6,26,0.231,19,24,0.792,9,50,19,2,4,14,18,41,95,0.432,9,25,0.36,11,16,0.688,10,46,24,6,6,7,22
6031,4673,LAL,46,2017-01-17,Home,DEN,L,121,127,47,108,0.435,11,30,0.367,16,18,0.889,20,43,28,11,5,12,21,50,88,0.568,11,26,0.423,16,26,0.615,13,45,29,5,9,17,17
6032,4773,LAL,47,2017-01-20,Home,IND,W,108,95,41,87,0.471,14,33,0.424,12,15,0.8,16,51,27,15,3,23,20,34,80,0.425,9,23,0.391,18,25,0.72,8,37,24,17,6,20,12
6036,51112,LAL,51,2017-01-31,Home,DEN,W,120,116,47,89,0.528,12,26,0.462,14,18,0.778,10,44,25,7,10,15,16,41,99,0.414,15,27,0.556,19,23,0.826,20,51,26,12,5,11,18
6042,5773,LAL,57,2017-02-14,Home,SAC,L,96,97,38,83,0.458,12,29,0.414,8,15,0.533,13,43,22,10,3,17,21,36,73,0.493,7,24,0.292,18,25,0.72,7,38,23,9,3,17,12
6045,6073,LAL,60,2017-02-26,Home,SAS,L,98,119,40,87,0.46,7,22,0.318,11,18,0.611,13,44,16,8,2,18,18,49,94,0.521,10,21,0.476,11,13,0.846,13,46,37,12,5,12,15
6046,61112,LAL,61,2017-02-28,Home,CHO,L,104,109,41,84,0.488,12,32,0.375,10,13,0.769,6,39,22,9,5,14,23,38,85,0.447,16,39,0.41,17,24,0.708,11,45,25,3,5,12,11
6047,6278,LAL,62,2017-03-03,Home,BOS,L,95,115,37,87,0.425,6,24,0.25,15,20,0.75,6,34,23,11,7,14,21,43,84,0.512,10,33,0.303,19,25,0.76,6,46,30,7,2,18,17
6048,6373,LAL,63,2017-03-05,Home,NOP,L,97,105,38,83,0.458,10,28,0.357,11,15,0.733,11,49,22,7,5,25,24,36,89,0.404,9,24,0.375,24,35,0.686,13,44,23,12,5,13,12
6051,6673,LAL,66,2017-03-12,Home,PHI,L,116,118,44,88,0.5,4,20,0.2,24,28,0.857,7,40,24,10,10,15,21,41,79,0.519,10,24,0.417,26,32,0.813,4,34,28,8,4,16,24
6054,6973,LAL,69,2017-03-17,Home,MIL,L,103,107,38,84,0.452,11,29,0.379,16,26,0.615,11,40,24,7,4,14,20,40,82,0.488,4,24,0.167,23,30,0.767,10,43,22,7,9,14,25
6055,7073,LAL,70,2017-03-19,Home,CLE,L,120,125,47,91,0.516,11,27,0.407,15,19,0.789,10,40,23,5,1,5,25,45,85,0.529,13,36,0.361,22,27,0.815,10,44,19,4,2,10,16
6056,71112,LAL,71,2017-03-21,Home,LAC,L,109,133,43,92,0.467,6,20,0.3,17,27,0.63,14,41,23,8,3,8,22,45,84,0.536,15,33,0.455,28,32,0.875,13,48,23,4,4,15,21
6057,7278,LAL,72,2017-03-24,Home,MIN,W,130,119,46,88,0.523,14,23,0.609,24,28,0.857,9,42,26,6,2,20,23,46,95,0.484,7,21,0.333,20,22,0.909,12,37,32,13,10,13,20
6058,7373,LAL,73,2017-03-26,Home,POR,L,81,97,33,84,0.393,5,21,0.238,10,17,0.588,1,42,19,6,3,10,17,36,89,0.404,12,28,0.429,13,18,0.722,12,61,24,8,4,13,16
6059,7473,LAL,74,2017-03-28,Home,WAS,L,108,119,43,85,0.506,8,22,0.364,14,16,0.875,11,43,21,6,9,18,19,48,94,0.511,6,23,0.261,17,25,0.68,13,41,24,12,3,12,20
6062,7773,LAL,77,2017-04-02,Home,MEM,W,108,103,40,85,0.471,7,19,0.368,21,27,0.778,17,51,14,11,2,13,12,40,80,0.5,13,30,0.433,10,14,0.714,5,33,29,8,5,14,19
6064,7973,LAL,79,2017-04-07,Home,SAC,W,98,94,38,86,0.442,4,24,0.167,18,25,0.72,16,41,20,12,1,14,15,38,75,0.507,8,20,0.4,10,13,0.769,10,40,27,5,6,23,19
6065,8073,LAL,80,2017-04-09,Home,MIN,W,110,109,42,86,0.488,10,27,0.37,16,20,0.8,12,40,26,10,8,16,23,40,80,0.5,3,15,0.2,26,31,0.839,8,41,27,8,6,14,16
6066,8174,LAL,81,2017-04-11,Home,NOP,W,108,96,42,88,0.477,8,22,0.364,16,23,0.696,8,47,24,15,3,11,18,37,79,0.468,7,22,0.318,15,20,0.75,5,39,29,5,5,16,16
6068,1279,MEM,1,2016-10-26,Home,MIN,W,102,98,36,80,0.45,11,24,0.458,19,27,0.704,11,45,19,6,11,13,25,36,86,0.419,6,18,0.333,20,29,0.69,15,45,20,6,5,10,23
6070,3279,MEM,3,2016-10-30,Home,WAS,W,112,103,39,88,0.443,15,31,0.484,19,26,0.731,11,47,24,9,2,14,26,38,86,0.442,5,25,0.2,22,25,0.88,8,40,19,8,4,14,23
6072,5279,MEM,5,2016-11-02,Home,NOP,W,89,83,33,94,0.351,8,27,0.296,15,20,0.75,13,52,20,12,5,17,22,30,81,0.37,11,34,0.324,12,16,0.75,5,43,17,8,9,21,26
6073,6279,MEM,6,2016-11-04,Home,LAC,L,88,99,31,84,0.369,9,26,0.346,17,22,0.773,13,48,26,4,9,18,28,32,85,0.376,8,27,0.296,27,33,0.818,11,47,19,17,6,11,23
6074,7279,MEM,7,2016-11-06,Home,POR,L,94,100,31,81,0.383,6,26,0.231,26,32,0.813,12,44,15,9,5,13,20,32,71,0.451,14,33,0.424,22,27,0.815,5,37,19,7,5,15,25
6075,893,MEM,8,2016-11-08,Home,DEN,W,108,107,44,86,0.512,7,24,0.292,13,19,0.684,8,32,29,14,5,14,30,35,70,0.5,10,24,0.417,27,34,0.794,6,39,24,6,4,22,23
6080,1374,MEM,13,2016-11-19,Home,MIN,W,93,71,29,76,0.382,2,18,0.111,33,38,0.868,13,46,15,8,7,9,19,25,64,0.391,7,22,0.318,14,22,0.636,5,34,16,5,5,16,25
6083,1674,MEM,16,2016-11-25,Home,MIA,L,81,90,29,82,0.354,4,19,0.211,19,23,0.826,16,51,14,3,14,17,16,33,85,0.388,12,31,0.387,12,18,0.667,10,44,17,8,8,8,21
6085,1874,MEM,18,2016-11-28,Home,CHO,L,85,104,36,89,0.404,7,29,0.241,6,13,0.462,8,42,21,10,4,12,25,36,82,0.439,9,26,0.346,23,31,0.742,9,47,24,3,4,13,14
6087,2074,MEM,20,2016-12-01,Home,ORL,W,95,94,33,79,0.418,7,18,0.389,22,28,0.786,8,39,18,9,9,10,25,33,74,0.446,6,24,0.25,22,31,0.71,7,42,15,5,9,17,19
6088,21113,MEM,21,2016-12-03,Home,LAL,W,103,100,41,88,0.466,10,30,0.333,11,15,0.733,14,43,32,13,7,11,19,35,81,0.432,7,21,0.333,23,29,0.793,14,44,16,7,4,18,18
6090,2374,MEM,23,2016-12-06,Home,PHI,W,96,91,33,86,0.384,2,17,0.118,28,35,0.8,12,53,18,8,5,13,25,32,82,0.39,14,41,0.341,13,26,0.5,9,45,21,5,7,16,27
6091,2474,MEM,24,2016-12-08,Home,POR,W,88,86,31,87,0.356,6,20,0.3,20,30,0.667,15,58,13,8,2,12,28,25,82,0.305,7,28,0.25,29,40,0.725,13,52,13,6,3,12,23
6092,2574,MEM,25,2016-12-10,Home,GSW,W,110,89,38,87,0.437,8,26,0.308,26,29,0.897,11,47,23,10,5,10,19,34,77,0.442,9,27,0.333,12,20,0.6,10,42,15,6,8,23,23
6094,2774,MEM,27,2016-12-14,Home,CLE,W,93,85,35,81,0.432,12,23,0.522,11,16,0.688,14,55,22,9,3,16,27,28,75,0.373,9,25,0.36,20,31,0.645,7,39,10,10,2,11,16
6095,2874,MEM,28,2016-12-16,Home,SAC,L,92,96,29,77,0.377,5,25,0.2,29,36,0.806,13,47,19,7,8,13,31,31,80,0.388,7,24,0.292,27,37,0.73,13,45,18,5,6,11,25
6096,2974,MEM,29,2016-12-18,Home,UTA,L,73,82,28,93,0.301,2,23,0.087,15,18,0.833,19,48,12,8,1,8,28,30,66,0.455,8,27,0.296,14,25,0.56,5,42,18,4,11,15,20
6097,3074,MEM,30,2016-12-20,Home,BOS,L,109,112,38,94,0.404,12,30,0.4,21,26,0.808,17,52,23,10,3,13,30,33,81,0.407,12,37,0.324,34,38,0.895,8,41,22,7,5,11,22
6099,3280,MEM,32,2016-12-23,Home,HOU,W,115,109,41,81,0.506,13,25,0.52,20,25,0.8,9,38,23,8,3,10,16,38,89,0.427,20,52,0.385,13,15,0.867,10,40,27,5,3,13,22
6102,3574,MEM,35,2016-12-29,Home,OKC,W,114,80,43,82,0.524,13,22,0.591,15,20,0.75,11,39,24,8,9,12,27,25,74,0.338,4,22,0.182,26,38,0.684,14,39,9,5,7,18,18
6107,4074,MEM,40,2017-01-08,Home,UTA,W,88,79,34,78,0.436,9,24,0.375,11,14,0.786,5,37,19,11,2,13,23,28,72,0.389,9,23,0.391,14,23,0.609,11,43,14,8,3,17,19
6110,4374,MEM,43,2017-01-15,Home,CHI,L,104,108,40,95,0.421,11,32,0.344,13,13,1.0,13,50,24,6,3,10,22,40,78,0.513,4,17,0.235,24,35,0.686,6,47,18,8,5,12,14
6112,4574,MEM,45,2017-01-20,Home,SAC,W,107,91,38,83,0.458,11,28,0.393,20,25,0.8,15,58,21,6,4,15,24,31,76,0.408,6,29,0.207,23,32,0.719,5,35,18,9,6,10,21
6113,4674,MEM,46,2017-01-21,Home,HOU,L,95,119,33,89,0.371,9,34,0.265,20,28,0.714,14,41,19,10,4,12,17,41,80,0.513,16,42,0.381,21,25,0.84,6,46,27,11,6,12,25
6114,4774,MEM,47,2017-01-25,Home,TOR,W,101,99,36,78,0.462,10,22,0.455,19,25,0.76,9,45,18,3,7,9,17,39,92,0.424,10,34,0.294,11,19,0.579,13,45,16,6,4,8,22
6121,5474,MEM,54,2017-02-06,Home,SAS,W,89,74,32,81,0.395,4,19,0.211,21,25,0.84,15,50,18,8,11,13,17,30,82,0.366,4,19,0.211,10,18,0.556,11,44,11,8,6,16,20
6122,5574,MEM,55,2017-02-08,Home,PHO,W,110,91,35,72,0.486,14,24,0.583,26,34,0.765,11,41,24,6,8,22,25,29,87,0.333,5,23,0.217,28,34,0.824,18,46,13,12,5,15,27
6123,5674,MEM,56,2017-02-10,Home,GSW,L,107,122,34,87,0.391,9,26,0.346,30,37,0.811,18,47,20,6,4,18,28,39,77,0.506,15,33,0.455,29,38,0.763,5,34,31,14,13,12,26
6125,5874,MEM,58,2017-02-15,Home,NOP,L,91,95,33,89,0.371,6,33,0.182,19,25,0.76,13,48,22,8,3,15,19,37,75,0.493,8,18,0.444,13,22,0.591,4,38,18,10,5,12,23
6128,61113,MEM,61,2017-02-28,Home,PHO,W,130,112,48,86,0.558,12,25,0.48,22,29,0.759,12,39,24,6,3,10,19,43,83,0.518,7,21,0.333,19,24,0.792,8,32,22,6,5,12,25
6131,6474,MEM,64,2017-03-06,Home,BRK,L,109,122,34,77,0.442,10,25,0.4,31,39,0.795,8,37,23,7,2,15,29,39,73,0.534,14,30,0.467,30,38,0.789,7,41,16,12,5,16,27
6132,6574,MEM,65,2017-03-09,Home,LAC,L,98,114,37,83,0.446,7,20,0.35,17,22,0.773,6,34,26,6,2,9,22,40,78,0.513,11,30,0.367,23,28,0.821,7,47,24,2,4,14,18
6133,6674,MEM,66,2017-03-11,Home,ATL,L,90,107,34,90,0.378,5,29,0.172,17,23,0.739,13,41,22,11,3,13,21,36,72,0.5,15,30,0.5,20,26,0.769,6,46,22,9,6,18,23
6134,6774,MEM,67,2017-03-13,Home,MIL,W,113,93,41,79,0.519,14,27,0.519,17,23,0.739,11,37,30,11,0,12,20,31,67,0.463,14,26,0.538,17,20,0.85,8,32,21,6,5,16,21
6137,7074,MEM,70,2017-03-18,Home,SAS,W,104,96,32,76,0.421,13,30,0.433,27,31,0.871,7,35,20,7,3,10,18,33,75,0.44,9,28,0.321,21,22,0.955,9,42,18,2,5,15,25
6142,7574,MEM,75,2017-03-29,Home,IND,W,110,97,41,88,0.466,12,32,0.375,16,18,0.889,9,43,22,8,3,8,19,37,85,0.435,10,25,0.4,13,15,0.867,12,43,19,5,7,12,18
6143,7674,MEM,76,2017-03-31,Home,DAL,W,99,90,35,75,0.467,11,27,0.407,18,20,0.9,8,47,23,4,4,13,22,29,76,0.382,12,34,0.353,20,25,0.8,6,38,15,7,4,8,21
6146,7974,MEM,79,2017-04-05,Home,OKC,L,100,103,37,78,0.474,9,26,0.346,17,21,0.81,7,38,21,7,5,13,18,37,85,0.435,14,31,0.452,15,24,0.625,12,44,19,8,3,12,20
6147,8074,MEM,80,2017-04-07,Home,NYK,W,101,88,38,75,0.507,15,27,0.556,10,12,0.833,7,38,20,3,9,12,14,38,88,0.432,6,28,0.214,6,13,0.462,15,41,20,8,4,6,16
6148,8175,MEM,81,2017-04-09,Home,DET,L,90,103,36,75,0.48,9,21,0.429,9,13,0.692,6,30,23,12,3,15,16,39,82,0.476,14,28,0.5,11,16,0.688,15,46,21,8,2,18,12
6149,8274,MEM,82,2017-04-12,Home,DAL,L,93,100,33,84,0.393,8,25,0.32,19,22,0.864,16,48,18,4,5,14,23,33,75,0.44,9,34,0.265,25,31,0.806,8,37,21,9,5,12,19
6151,2281,MIA,2,2016-10-28,Home,CHO,L,91,97,32,86,0.372,14,34,0.412,13,20,0.65,11,52,19,2,4,19,23,35,92,0.38,7,22,0.318,20,24,0.833,13,49,20,10,9,8,20
6152,3281,MIA,3,2016-10-30,Home,SAS,L,99,106,37,80,0.463,7,20,0.35,18,26,0.692,6,36,19,7,6,12,24,37,82,0.451,10,18,0.556,22,26,0.846,14,44,20,4,5,15,26
6153,4281,MIA,4,2016-11-01,Home,SAC,W,108,96,37,86,0.43,13,29,0.448,21,29,0.724,6,45,24,10,9,15,21,34,89,0.382,5,23,0.217,23,27,0.852,9,53,12,4,4,15,23
6156,7281,MIA,7,2016-11-10,Home,CHI,L,95,98,36,88,0.409,13,29,0.448,10,15,0.667,14,46,22,8,5,13,19,37,89,0.416,6,16,0.375,18,20,0.9,12,48,18,7,2,10,12
6157,894,MIA,8,2016-11-12,Home,UTA,L,91,102,38,81,0.469,5,17,0.294,10,19,0.526,4,39,21,5,4,8,17,40,81,0.494,6,20,0.3,16,19,0.842,6,45,12,5,4,9,19
6159,1075,MIA,10,2016-11-15,Home,ATL,L,90,93,36,89,0.404,7,23,0.304,11,14,0.786,17,48,13,11,7,23,23,37,80,0.463,6,17,0.353,13,19,0.684,6,35,18,14,4,19,13
6160,11114,MIA,11,2016-11-17,Home,MIL,W,96,73,39,97,0.402,7,30,0.233,11,21,0.524,17,59,19,5,8,7,18,28,85,0.329,7,23,0.304,10,13,0.769,12,48,20,4,8,13,20
6165,1675,MIA,16,2016-11-26,Home,MEM,L,107,110,40,81,0.494,11,31,0.355,16,24,0.667,8,39,18,3,6,9,21,37,73,0.507,9,25,0.36,27,33,0.818,2,34,23,5,5,6,19
6166,1775,MIA,17,2016-11-28,Home,BOS,L,104,112,38,80,0.475,6,30,0.2,22,32,0.688,7,41,24,6,2,13,25,40,83,0.482,11,27,0.407,21,26,0.808,6,40,26,4,3,9,27
