,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
5118,MEM,51,2015-02-08,Home,ATL,W,-0.9095785655289484,-1.176644019323586,-0.5988578785262247,1.002772799361405,-1.2724084619376166,-1.7391048140692769,-1.775307021383931,-1.3020638026576858,0.22245186079178217,-0.2926210016126705,1.3788819201442937,1.734983002690451,1.7129389872456315,-0.9938276305665572,0.07845023893430217,-0.3947886866154317,-0.657729216401178,-1.8084543384294058,-1.0409756181268106,-0.6914756187643581,-0.6947170975361805,0.8285967409555902,0.6199052699906233,0.5182891845411182,-1.168369897331594,-1.5488681920547966,1.3944686494227483,-1.8923278431235209,-0.9333324640617678,-0.9896564338545399,-0.589310376969897,0.15266865525342044,0.06650838325307429,-1.0141480440709127
5216,MEM,52,2015-02-10,Home,BRK,W,-0.8264703785844124,-1.3405201608361277,-0.5988578785262247,-0.5432066873477792,-0.3066804822222387,-0.9030021771629049,-0.9325464959959172,-0.4370741721308921,-0.11021171218559453,0.24457874761656023,-0.8138660361791322,0.4233889562203026,0.14520644687907375,0.16774308861326512,2.095742097244929,1.5234024432956126,-0.3983073994464084,-0.16748035830797955,-0.6393602453619485,-0.5514961896859907,-0.3431748652700571,-1.6685286717928978,-1.9207653478532132,-1.0270737587844643,-0.6661086570632286,-0.7279074237591526,0.035132679738165286,1.0030605504713717,0.4742956527180371,-1.5882929226743836,-0.24952283979751996,0.15266865525342044,1.6124355278442202,0.8286508578556432
5714,MEM,57,2015-02-27,Home,LAC,L,-2.156201369696988,-0.43920138251714896,-1.1935656957264582,0.30005485085723044,-1.4910638535712872,-1.7391048140692769,-1.9157671089486,-1.1087131793634615,-1.274534217606413,-1.0984206254565165,-0.9405581403222637,0.16107014692627292,-0.48188656926754936,-0.8002325107032535,-0.5939803805025734,-0.3947886866154317,0.1205362344631308,1.7079184761165076,-0.4385525589795174,-0.9714344769210932,0.21189181725540088,-0.003778396627239144,0.0553117993586597,-0.03804147505609191,-0.16384741679486334,0.7771873181161946,-1.7961949460868982,-0.31302508298085213,0.6306987768046821,-0.3910199450346962,0.4300522345472341,2.1948921023627954,-0.7064551890424986,-0.32309845584845426
5914,MEM,59,2015-03-03,Home,UTA,L,-1.90687680886338,-0.7669536655422321,-1.1935656957264582,-0.40266309764694425,-1.0719743529400851,-1.7391048140692769,-2.056227196513269,-0.8746571616915052,-0.775538858140348,-0.5612208762272859,-0.774883850288938,0.16107014692627292,-1.1089795854141724,-1.5746129901564685,-0.25776507078413563,-0.3947886866154317,-0.657729216401178,-1.8084543384294058,-0.4385525589795174,-0.6914756187643581,-0.010134855754782311,-1.113611913404345,-0.08583656829933123,-1.5421947398929916,-0.16384741679486334,-0.45425383432727134,0.7619998301945043,1.0030605504713717,1.8819237694978421,0.008071047511866205,-0.24952283979751996,0.9695580340971703,0.3241629073515986,-0.7837981813300932
6118,MEM,61,2015-03-06,Home,LAL,W,-0.6602540046953405,-1.0127678778110445,-0.9953297566597138,-1.1053810461511189,-0.34312304749451716,-2.2965065720068583,-2.056227196513269,-2.726752605878287,1.7194379391899772,1.3189782460750217,0.8233857712090252,-0.8882050902498457,-0.3251133152308936,-0.9938276305665572,-0.25776507078413563,-1.5457033645620584,-1.4359946672654869,-1.8084543384294058,0.16387050016777596,-0.1315579024508882,0.24889626275709809,-1.113611913404345,-1.9207653478532132,0.6934303181180171,-1.6706311375999592,-1.8225217814866779,0.15785051033469025,-1.3658935897426312,0.16148940454474708,0.008071047511866205,-0.589310376969897,1.7864474129409202,-1.2217642372395472,1.289350583337282
6614,MEM,66,2015-03-14,Home,MIL,W,-0.7433621916398765,-1.58633437310494,-0.40062193945948027,-0.9648374564502841,0.23995799686193697,-0.3456004192253236,-1.634846933819262,2.1578947194494886,-0.6092070716516595,-0.9641206881492089,1.0865155259678367,-0.6258862809558161,-1.2657528394508282,-0.025852031250038602,0.7508808583711777,-0.7784269125976405,0.1205362344631308,0.3013693502981422,-1.643398677274104,-1.8113110513912982,-0.6207082065327861,-1.113611913404345,-0.9327267742472768,-0.893142303696247,0.1709934100507135,0.640360523400254,-0.8899709662971756,-0.5762422096712969,-0.9333324640617678,-0.9896564338545399,-0.589310376969897,-0.6642207235903296,0.3241629073515986,-0.5534483185892737
6714,MEM,67,2015-03-16,Home,DEN,W,-1.0757949394180204,-1.7502105146174816,-1.1935656957264582,-0.6837502770486141,-0.8715402439425546,-2.0178056930380674,-2.3371473716426068,-1.3936509400075816,1.0541107932352238,0.6474785595384833,0.9110956894619624,2.52193943057254,2.026485495318943,-1.7682081100197722,0.41466554865273997,-0.011150460633222819,1.417645319236979,-0.8707549212171622,-1.643398677274104,-0.5514961896859907,-1.4903126758226692,-0.28123677582151557,-1.0738751419052677,0.9715956479166221,-0.6661086570632286,-0.18060024489539,-1.343082956192037,-0.049807956290407386,-0.9333324640617678,-1.5882929226743836,1.7892023832367423,0.15266865525342044,0.3241629073515986,0.8286508578556432
7014,MEM,70,2015-03-21,Home,POR,W,-0.6602540046953405,-1.3405201608361277,-0.40062193945948027,0.5811420302589003,-0.816876396034137,0.4905022176810484,-1.0730065835605862,2.5649486632268035,-0.9418706446290362,-0.9641206881492089,-0.13167778310073347,0.16107014692627292,0.14520644687907375,-0.4130422709766461,0.7508808583711777,-1.5457033645620584,-0.9171510333559476,-0.8707549212171622,-1.0409756181268106,-1.2513933350778281,-0.3061704197683599,-0.8361535342100684,-0.509281671273304,-0.7901181074745415,-0.4986882436404402,-1.001561013191034,1.621024644370179,-1.3658935897426312,0.16148940454474708,-1.3887474264011024,-0.589310376969897,-0.6642207235903296,0.8394719555486472,-0.7837981813300932
7216,MEM,72,2015-03-25,Home,CLE,L,-1.3251195002516283,0.707931608070642,-0.40062193945948027,0.018967671455560563,-0.4706720259474917,-1.4604039351004863,-1.213466671125255,-1.2613584082799545,-1.1082024311177245,-0.9641206881492089,-0.7359016643987448,-0.3635674716617864,-1.8928458555974512,-0.9938276305665572,0.41466554865273997,0.37248776534898603,-1.4359946672654869,-1.105179775520223,0.9671012456975004,-0.1315579024508882,1.1370029547978298,1.3835134993441431,1.184498740622587,0.6419182200071644,-1.0009494839088056,-1.2752146026229152,0.7997591626857428,0.21340917040003737,0.9435050249779721,1.604435017698116,-0.589310376969897,0.15266865525342044,1.0971264796471716,-0.5534483185892737
7314,MEM,73,2015-03-27,Home,GSW,L,-1.7406604349743082,0.3801793250455589,-0.9953297566597138,-1.245924635851954,-0.25201663431382104,-1.1817030561316957,-1.775307021383931,0.2650938808849758,-1.1082024311177245,-1.0984206254565165,-0.29735207313405915,-0.6258862809558161,-0.6386598233042051,-0.8002325107032535,0.41466554865273997,-1.1620651385798495,1.417645319236979,-0.40190521261104045,0.16387050016777596,0.7083186720193168,-0.3246726425192085,1.938430257732696,0.7610536376486143,1.7133698607129018,-0.6661086570632286,-0.7279074237591526,0.035132679738165286,1.0030605504713717,0.005086280458102096,1.2053440251515535,2.4687774575814965,0.15266865525342044,0.06650838325307429,-0.7837981813300932
