,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,Team,Game,Date,Home,Opponent,WINorLOSS,cluster
4062,112.0,137.0,41.0,93.0,0.441,15.0,44.0,0.341,15.0,19.0,0.789,9.0,38.0,29.0,9.0,5.0,16.0,25.0,46.0,92.0,0.5,21.0,44.0,0.477,24.0,32.0,0.75,13.0,52.0,30.0,9.0,3.0,13.0,21.0,BRK,40.0,2017-01-15,Home,HOU,L,1.0
777,92.0,107.0,32.0,85.0,0.376,6.0,22.0,0.273,22.0,31.0,0.71,15.0,44.0,21.0,7.0,1.0,15.0,31.0,34.0,79.0,0.43,13.0,34.0,0.382,26.0,42.0,0.619,13.0,47.0,24.0,9.0,7.0,12.0,27.0,DEN,77.0,2015-04-04,Home,LAC,L,1.0
1416,100.0,111.0,36.0,84.0,0.429,5.0,15.0,0.333,23.0,26.0,0.885,8.0,36.0,21.0,11.0,7.0,14.0,20.0,43.0,93.0,0.462,8.0,18.0,0.444,17.0,22.0,0.773,20.0,53.0,27.0,7.0,6.0,14.0,24.0,MIL,14.0,2014-11-22,Home,WAS,L,1.0
2881,118.0,111.0,39.0,97.0,0.402,7.0,29.0,0.241,33.0,42.0,0.786,13.0,49.0,22.0,8.0,11.0,7.0,17.0,39.0,83.0,0.47,11.0,27.0,0.407,22.0,26.0,0.846,6.0,45.0,21.0,5.0,6.0,17.0,32.0,ORL,28.0,2016-12-16,Home,BRK,W,1.0
1867,98.0,106.0,38.0,91.0,0.418,7.0,22.0,0.318,15.0,24.0,0.625,14.0,55.0,28.0,3.0,7.0,19.0,21.0,41.0,93.0,0.441,9.0,24.0,0.375,15.0,26.0,0.577,11.0,48.0,26.0,14.0,7.0,6.0,25.0,DEN,18.0,2016-11-30,Home,MIA,L,1.0
2726,119.0,129.0,45.0,109.0,0.413,8.0,20.0,0.4,21.0,26.0,0.808,17.0,60.0,24.0,8.0,4.0,16.0,22.0,47.0,110.0,0.427,13.0,35.0,0.371,22.0,23.0,0.957,15.0,58.0,18.0,12.0,5.0,14.0,24.0,SAS,27.0,2014-12-19,Home,POR,L,1.0
2404,130.0,88.0,48.0,88.0,0.545,12.0,26.0,0.462,22.0,30.0,0.733,10.0,52.0,26.0,11.0,2.0,12.0,32.0,27.0,71.0,0.38,6.0,24.0,0.25,28.0,38.0,0.737,4.0,36.0,19.0,8.0,3.0,19.0,27.0,LAC,2.0,2017-10-21,Home,PHO,W,1.0
3791,103.0,111.0,39.0,81.0,0.481,14.0,29.0,0.483,11.0,17.0,0.647,8.0,45.0,20.0,2.0,4.0,16.0,23.0,43.0,93.0,0.462,6.0,26.0,0.231,19.0,28.0,0.679,14.0,47.0,26.0,6.0,4.0,8.0,17.0,BOS,37.0,2017-12-25,Home,WAS,L,2.0
4661,128.0,98.0,50.0,89.0,0.562,16.0,34.0,0.471,12.0,15.0,0.8,7.0,47.0,39.0,8.0,5.0,10.0,17.0,38.0,87.0,0.437,9.0,25.0,0.36,13.0,18.0,0.722,7.0,38.0,29.0,7.0,2.0,11.0,15.0,BOS,46.0,2017-01-27,Home,ORL,W,2.0
2496,122.0,105.0,49.0,86.0,0.57,12.0,26.0,0.462,12.0,17.0,0.706,5.0,42.0,26.0,4.0,6.0,7.0,18.0,38.0,91.0,0.418,14.0,36.0,0.389,15.0,23.0,0.652,15.0,49.0,25.0,5.0,5.0,7.0,19.0,DAL,24.0,2017-12-04,Home,DEN,W,2.0
3046,113.0,100.0,51.0,85.0,0.6,5.0,12.0,0.417,6.0,8.0,0.75,5.0,34.0,34.0,14.0,12.0,16.0,22.0,37.0,81.0,0.457,7.0,20.0,0.35,19.0,29.0,0.655,13.0,41.0,24.0,12.0,7.0,22.0,14.0,MIL,30.0,2015-12-23,Home,PHI,W,2.0
